
# DDL
CREATE DATABASE Trumpv2

# DML
# CONTEXT-DATABASE: Trumpv2

shooting IncidentDate="June 30, 2019",State="California",CityOrCounty="Oakland",Address="3000 block of Brookdale Ave",Killed=0,Injured=4,Operations="nan" 1571702409
shooting IncidentDate="June 30, 2019",State="California",CityOrCounty="Yucaipa",Address="12700 block of California St",Killed=0,Injured=5,Operations="nan" 1571702409
shooting IncidentDate="June 30, 2019",State="Texas",CityOrCounty="Dallas",Address="3535 Munger Ave",Killed=2,Injured=2,Operations="nan" 1571702409
shooting IncidentDate="June 30, 2019",State="New York",CityOrCounty="Bay Shore",Address="Farragut Ave",Killed=0,Injured=6,Operations="nan" 1571702409
shooting IncidentDate="June 29, 2019",State="Connecticut",CityOrCounty="Hartford",Address="Judson St and Martin St",Killed=0,Injured=4,Operations="nan" 1571702409
shooting IncidentDate="June 29, 2019",State="Louisiana",CityOrCounty="Gray",Address="2700 block of W Park Ave",Killed=0,Injured=4,Operations="nan" 1571702409
shooting IncidentDate="June 29, 2019",State="Illinois",CityOrCounty="Chicago",Address="2400 block of W Jackson Blvd",Killed=0,Injured=5,Operations="nan" 1571702409
shooting IncidentDate="June 29, 2019",State="Louisiana",CityOrCounty="Baton Rouge",Address="7132 Florida Blvd",Killed=0,Injured=7,Operations="nan" 1571702409
shooting IncidentDate="June 28, 2019",State="New Jersey",CityOrCounty="Paterson",Address="50 block of Jefferson St",Killed=0,Injured=4,Operations="nan" 1571702409
shooting IncidentDate="June 28, 2019",State="Connecticut",CityOrCounty="Hamden",Address="937 Choate Ave",Killed=0,Injured=5,Operations="nan" 1571702409
shooting IncidentDate="June 28, 2019",State="Georgia",CityOrCounty="Atlanta",Address="Ira St and Bass St SW",Killed=0,Injured=7,Operations="nan" 1571702409
shooting IncidentDate="June 28, 2019",State="New Jersey",CityOrCounty="Jersey City",Address="167 Armstrong Ave",Killed=0,Injured=4,Operations="nan" 1571702409
shooting IncidentDate="June 28, 2019",State="Minnesota",CityOrCounty="Saint Paul",Address="909 Desoto St",Killed=0,Injured=5,Operations="nan" 1571702409
shooting IncidentDate="June 27, 2019",State="Georgia",CityOrCounty="Atlanta",Address="600 block of Parkway Dr",Killed=0,Injured=7,Operations="nan" 1571702409
shooting IncidentDate="June 26, 2019",State="Ohio",CityOrCounty="Akron",Address="900 block of Rowe St",Killed=1,Injured=3,Operations="nan" 1571702409
shooting IncidentDate="June 26, 2019",State="Wisconsin",CityOrCounty="Milwaukee",Address="2800 block of N 34th St",Killed=0,Injured=4,Operations="nan" 1571702409
shooting IncidentDate="June 23, 2019",State="California",CityOrCounty="La Jolla",Address="7500 block of Draper Ave",Killed=1,Injured=3,Operations="nan" 1571702409
shooting IncidentDate="June 23, 2019",State="California",CityOrCounty="San Jose",Address="568 Habbitts Court",Killed=5,Injured=0,Operations="nan" 1571702409
shooting IncidentDate="June 23, 2019",State="Indiana",CityOrCounty="South Bend",Address="1150 E Mishawaka Ave",Killed=1,Injured=10,Operations="nan" 1571702409
shooting IncidentDate="June 23, 2019",State="Ohio",CityOrCounty="Columbus",Address="1767 Genessee Ave",Killed=0,Injured=5,Operations="nan" 1571702409
shooting IncidentDate="June 23, 2019",State="South Carolina",CityOrCounty="Abbeville",Address="1108 Cambridge St",Killed=3,Injured=1,Operations="nan" 1571702409
shooting IncidentDate="June 22, 2019",State="Virginia",CityOrCounty="Hampton",Address="1st St and E Pembroke Ave",Killed=0,Injured=4,Operations="nan" 1571702409
shooting IncidentDate="June 22, 2019",State="Pennsylvania",CityOrCounty="Philadelphia",Address="2400 block of Moore St",Killed=0,Injured=4,Operations="nan" 1571702409
shooting IncidentDate="June 22, 2019",State="Maryland",CityOrCounty="Baltimore",Address="800 block of N Port St",Killed=1,Injured=4,Operations="nan" 1571702409
